pid,fid14,fid12,cfps2012_latest_edu
140524102,140524,140524,文盲/半文盲
140525104,199741,140525,初中
140521103,140521,140521,小学
140513105,140513,140513,不适用
140099101,140099,140099,初中
140518103,140518,140518,不适用
140095102,140095,140095,小学
140097105,278601,140097,不适用
140090103,101288,140090,初中
140098103,140098,140098,高中/中专/技校/职高
140094102,140094,140094,初中
140090102,140090,140090,小学
140523102,140523,140523,文盲/半文盲
140108104,180054,140108,高中/中专/技校/职高
140089103,140089,140089,小学
140515102,140515,140515,小学
140517103,141741,140517,初中
140513104,140513,140513,初中
140515103,140515,140515,小学
140103103,140103,140103,高中/中专/技校/职高
140524103,140524,140524,小学
140112102,140112,140112,初中
140525101,199741,140525,初中
140533103,140533,140533,不适用
140111101,140111,140111,小学
140513103,140513,140513,不适用
140096103,140096,140096,小学
140097106,140097,140097,初中
140106103,140106,140106,高中/中专/技校/职高
140092103,140092,140092,大学本科
140098102,140098,140098,高中/中专/技校/职高
140526103,140526,140526,小学
140517102,140517,140517,初中
140091103,180035,140091,小学
140097104,278601,140097,高中/中专/技校/职高
140604103,140604,140604,初中
140858101,140858,140858,文盲/半文盲
140861103,180720,140861,大专
140858102,140858,140858,文盲/半文盲
140861102,140861,140861,高中/中专/技校/职高
140077105,199335,140077,高中/中专/技校/职高
140077104,140077,140077,初中
140062103,240023,140062,高中/中专/技校/职高
140077106,140077,140077,初中
140070104,140070,140070,小学
140009102,140009,140009,初中
140375101,140375,140375,初中
140350105,140350,140350,不适用
140374102,140374,140374,文盲/半文盲
140369104,140369,140369,高中/中专/技校/职高
140360431,140360,140360,不适用
140374103,140374,140374,初中
140357103,140357,140357,不适用
140365103,140365,140365,不适用
140021103,140021,140021,文盲/半文盲
140691102,140691,140691,高中/中专/技校/职高
140668103,140668,140668,初中
140173104,140173,140173,不适用
140678432,140678,140678,不适用
140675103,140675,140675,高中/中专/技校/职高
140185103,140185,140185,不适用
140658102,140658,140658,初中
140672104,140672,140672,高中/中专/技校/职高
140677101,140677,140677,高中/中专/技校/职高
140663431,140663,140663,文盲/半文盲
140677104,140677,140677,初中
140186103,140186,140186,大专
140656104,140656,140656,高中/中专/技校/职高
140662103,140662,140662,初中
140177101,140177,140177,小学
140656431,140656,140656,大专
140678431,140678,140678,高中/中专/技校/职高
140658103,140658,140658,小学
140663432,140663,140663,小学
140662102,140662,140662,小学
140658104,140658,140658,不适用
140676104,302610,302610,小学
140182105,140182,140182,不适用
140656103,140656,140656,文盲/半文盲
140672102,140672,140672,初中
140659105,140659,140659,高中/中专/技校/职高
140673102,279126,140673,初中
140186104,140186,140186,大专
140678103,140678,140678,高中/中专/技校/职高
140145103,278653,140145,初中
140154432,140154,140154,高中/中专/技校/职高
140154431,140154,140154,高中/中专/技校/职高
140150104,140150,140150,小学
140325103,140325,140325,大专
140632103,140632,140632,高中/中专/技校/职高
140340103,140340,140340,不适用
140850106,140850,140850,高中/中专/技校/职高
140316101,140316,140316,小学
140850105,140850,140850,高中/中专/技校/职高
140309103,140309,140309,初中
140236104,101439,140236,不适用
140736103,140736,140736,小学
140740103,140740,140740,初中
140740104,140740,140740,小学
140735103,140735,140735,小学
140236101,140236,140236,初中
140740108,140740,140740,小学
140735102,140735,140735,文盲/半文盲
140774104,140774,140774,高中/中专/技校/职高
140882401,140882,140882,初中
140548103,140548,140548,初中
140548104,140548,140548,初中
140564102,101698,140564,高中/中专/技校/职高
140543101,121072,140543,大专
140886104,140886,140886,初中
140886103,140886,140886,大专
110066103,110066,110066,不适用
211214104,162524,211214,小学
211213104,211213,211213,初中
211212103,211212,211212,初中
211223104,211223,211223,高中/中专/技校/职高
211214101,162524,211214,高中/中专/技校/职高
211209103,222130,211209,高中/中专/技校/职高
211215103,211215,211215,小学
210488103,210488,210488,初中
210417103,210417,210417,初中
210497103,210497,210497,初中
210445103,210445,210445,高中/中专/技校/职高
210432531,210432,不适用,不适用
211159102,211159,211159,初中
220220103,220220,220220,初中
210164103,210164,210164,高中/中专/技校/职高
210171104,210171,210171,初中
210152104,210152,210152,小学
210157101,210157,210157,小学
210162102,210162,210162,文盲/半文盲
210162103,210162,210162,初中
210162105,210162,210162,小学
210164104,210164,210164,高中/中专/技校/职高
210156104,210156,210156,高中/中专/技校/职高
210141104,260229,210141,初中
210092103,161521,210092,不适用
210091104,210091,210091,初中
210078102,142202,210078,小学
210083103,221141,210083,小学
210130105,210130,210130,小学
210085101,210085,210085,不适用
210083104,221141,210083,文盲/半文盲
210073102,210073,210073,小学
210074102,240876,210074,初中
210141103,260229,210141,初中
210085103,210085,210085,文盲/半文盲
210079101,210079,210079,高中/中专/技校/职高
408621431,408621,408621,不适用
210066103,161497,210066,高中/中专/技校/职高
210126103,210126,210126,不适用
210089105,210089,210089,初中
210067103,210067,210067,高中/中专/技校/职高
210068103,210068,210068,大专
210144102,142270,210144,初中
210066102,210066,210066,小学
210092102,279418,210092,文盲/半文盲
210146104,210146,210146,文盲/半文盲
210089101,210089,210089,小学
210088103,210088,210088,不适用
210075103,210075,210075,初中
210536102,210536,210536,不适用
210549103,210549,210549,初中
210643103,210643,210643,不适用
210646105,210646,210646,不适用
210643104,210643,210643,初中
211384105,211384,211384,小学
210235103,210235,210235,初中
210235431,210235,210235,不适用
211387102,211387,211387,小学
211392101,211392,211392,文盲/半文盲
211373102,211373,211373,文盲/半文盲
211384103,211384,211384,文盲/半文盲
211389102,211389,211389,文盲/半文盲
210336102,210336,210336,高中/中专/技校/职高
210980102,210980,210980,初中
210975431,210975,210975,不适用
210982431,210982,210982,文盲/半文盲
211241102,211241,211241,不适用
211265101,211265,211265,不适用
211942102,211942,211942,大学本科
211901103,211901,211901,小学
211572102,211572,211572,高中/中专/技校/职高
210769102,200750,210769,不适用
251990433,251990,251990,不适用
211912103,211912,211912,不适用
211943103,211943,211943,初中
210761104,210761,210761,不适用
210764104,210764,210764,初中
211947103,211947,211947,大专
211948102,211948,211948,小学
211959101,211959,211959,高中/中专/技校/职高
211908103,211908,211908,小学
210773101,241488,210773,文盲/半文盲
210751103,241460,210751,大学本科
211888103,201790,211888,大学本科
211950105,211950,211950,高中/中专/技校/职高
211958103,211958,211958,高中/中专/技校/职高
210775105,469412,469412,小学
210753105,210753,210753,初中
211910106,211910,211910,高中/中专/技校/职高
210725103,210725,210725,文盲/半文盲
210763103,210763,210763,文盲/半文盲
211886102,211886,211886,小学
210772103,210772,210772,小学
211804102,211804,211804,小学
211913104,211913,211913,高中/中专/技校/职高
210187102,210187,210187,初中
211415103,211415,211415,初中
211480103,162790,211480,初中
211448104,280646,211448,初中
211473105,242153,211473,文盲/半文盲
210191101,210191,210191,小学
211421104,218217,850741,小学
211519105,240353,240353,高中/中专/技校/职高
211459101,222395,211459,高中/中专/技校/职高
211914103,281081,211914,小学
211919102,211919,211919,初中
211514103,211514,211514,初中
210182102,210182,210182,文盲/半文盲
211934103,103766,211934,小学
211466101,211466,211466,初中
211423103,261356,211423,初中
211412103,211412,211412,小学
211399104,211399,211399,小学
211406103,211406,211406,大专
211455104,143459,211455,高中/中专/技校/职高
211455102,211455,211455,文盲/半文盲
211797103,211797,211797,不适用
211515106,261458,211515,初中
211474103,211474,211474,初中
211816431,211816,211816,初中
211807103,211807,211807,小学
211938103,211938,211938,文盲/半文盲
211417105,211417,211417,小学
211772103,143747,211772,高中/中专/技校/职高
211820103,103671,211820,大学本科
211515105,211515,211515,没数据
211818102,211818,211818,小学
210194103,161630,210194,初中
211425101,211425,211425,小学
211406104,211406,211406,高中/中专/技校/职高
211443103,211443,211443,初中
211819103,1824641,211819,初中
211816101,211816,211816,文盲/半文盲
211769104,211769,211769,文盲/半文盲
211416106,211416,211416,文盲/半文盲
211448103,280646,211448,大专
211792105,432529,432529,大专
211515104,211515,211515,初中
211919101,211919,211919,初中
211476103,242157,211476,初中
211422102,122721,211422,文盲/半文盲
211459104,242140,211459,高中/中专/技校/职高
211511101,211511,211511,小学
211513101,122825,211513,小学
211774102,211774,211774,小学
211403105,211403,211403,初中
211790107,192780,486846,小学
210183103,240995,210183,文盲/半文盲
211816102,211816,211816,初中
211769105,211769,211769,文盲/半文盲
211429103,201368,211429,初中
211416104,201354,211416,文盲/半文盲
211769103,211769,211769,初中
211421101,850741,850741,小学
211804103,211804,211804,初中
211400104,280590,211400,不适用
211522103,211522,211522,小学
211783104,123075,211783,大专
211782102,211782,211782,小学
211535106,211535,211535,高中/中专/技校/职高
211402105,211402,211402,小学
211427103,787411,787411,初中
211440103,211440,211440,小学
210195101,210195,210195,高中/中专/技校/职高
211798431,211798,211798,小学
211798103,211798,211798,初中
211796105,269949,438283,小学
211937102,211937,211937,小学
211807101,211807,211807,小学
211451102,211451,211451,小学
211777101,211777,211777,小学
211452104,211452,211452,大专
211791103,211791,211791,文盲/半文盲
211479104,211479,211479,初中
211818103,211818,211818,初中
211523103,280731,211523,小学
211781104,143758,211781,初中
486846431,486846,486846,初中
211426103,211426,211426,小学
211480104,211480,211480,初中
211478102,211478,211478,初中
415297433,415297,415297,不适用
211765103,211765,211765,小学
211778103,211778,211778,初中
211781103,143758,211781,初中
211923105,296324,810836,小学
211767103,211767,211767,小学
211451103,211451,211451,初中
211513107,475169,475169,小学
211410103,122705,211410,初中
211425102,211425,211425,初中
211810104,182453,211810,大学本科
211924103,211924,211924,高中/中专/技校/职高
415297432,415297,415297,不适用
211416103,201354,211416,小学
211789104,211789,211789,小学
211403104,211403,211403,高中/中专/技校/职高
211808103,211808,211808,小学
211506101,211506,211506,文盲/半文盲
211201106,211201,211201,初中
211505103,211505,211505,初中
211199104,211199,211199,初中
211202101,211202,211202,文盲/半文盲
211197103,211197,211197,高中/中专/技校/职高
211187103,211187,211187,大专
211490102,211490,211490,不适用
211208431,211208,211208,不适用
211208103,211208,211208,小学
211201101,211201,211201,初中
211202103,211202,211202,不适用
211499104,211499,211499,小学
211505106,211505,211505,文盲/半文盲
211490105,143502,211490,初中
210954101,210954,210954,小学
210949103,210949,210949,不适用
210929103,210929,210929,不适用
211763101,211763,211763,小学
211757101,211757,211757,高中/中专/技校/职高
210954103,210954,210954,初中
211758104,211758,211758,小学
210956103,210956,210956,不适用
210956104,210956,210956,不适用
210947102,210947,210947,不适用
210952103,210952,210952,初中
210947103,210947,210947,小学
210951101,210951,210951,初中
211758103,211758,211758,不适用
210935101,210935,210935,小学
210952102,210952,210952,初中
210245103,210245,210245,不适用
210272102,210272,210272,高中/中专/技校/职高
210270104,210270,210270,大专
210042102,210042,210042,不适用
210046103,210046,210046,高中/中专/技校/职高
211106102,211106,211106,小学
211140103,211140,211140,不适用
211133101,211133,211133,不适用
211028102,211028,211028,文盲/半文盲
210800101,210800,210800,大专
210800103,210800,210800,高中/中专/技校/职高
220307103,220307,220307,初中
220308104,220308,220308,初中
220306103,220306,220306,初中
220308102,220308,220308,小学
220067102,220067,220067,文盲/半文盲
220154103,220154,220154,初中
220043103,201942,220043,小学
220042102,220042,220042,不适用
220043104,143995,220043,初中
220155103,220155,220155,高中/中专/技校/职高
220055103,220055,220055,小学
220055101,220055,220055,文盲/半文盲
220094101,220094,220094,高中/中专/技校/职高
220057103,222964,220057,高中/中专/技校/职高
220037101,220037,220037,初中
220033104,220033,220033,初中
220033105,220033,220033,小学
220011102,220011,220011,不适用
220279105,104088,220279,初中
220127102,220127,220127,高中/中专/技校/职高
220334102,220334,220334,初中
220127103,220127,220127,不适用
220122101,220122,220122,高中/中专/技校/职高
220274104,220274,220274,文盲/半文盲
220300103,220300,220300,不适用
220300102,220300,220300,初中
220291102,220291,220291,不适用
220297102,220297,220297,小学
230152101,230152,230152,小学
230439101,230439,230439,小学
230155102,230155,230155,小学
230131101,230131,230131,文盲/半文盲
230429103,230429,230429,文盲/半文盲
230131103,183126,230131,高中/中专/技校/职高
230129101,230129,230129,文盲/半文盲
230609105,230609,230609,文盲/半文盲
230622105,223930,230622,小学
230609104,230609,230609,文盲/半文盲
230606103,230606,230606,初中
230475103,230475,230475,初中
230619103,230619,230619,文盲/半文盲
230632103,230632,230632,高中/中专/技校/职高
230623103,230623,230623,高中/中专/技校/职高
230616103,223923,230616,高中/中专/技校/职高
230623102,230623,230623,文盲/半文盲
230552103,230552,230552,文盲/半文盲
230602103,230602,230602,高中/中专/技校/职高
230528103,230528,230528,初中
230026106,230026,230026,高中/中专/技校/职高
230010105,281548,230010,初中
230228103,230228,230228,初中
230025103,230025,230025,初中
230004104,182989,230004,初中
230011103,230011,230011,不适用
230027103,230027,230027,大专
230016102,230016,230016,高中/中专/技校/职高
230011102,230011,230011,小学
230021103,230021,230021,初中
230209102,183196,230209,不适用
230013431,230013,230013,初中
230025104,230025,230025,初中
230228102,230228,230228,高中/中专/技校/职高
230212102,230212,230212,大专
230177103,230177,230177,高中/中专/技校/职高
230167102,230167,230167,初中
230327102,104521,230327,初中
230415102,230415,230415,小学
230326103,230326,230326,不适用
230399103,230399,230399,初中
230395431,230395,230395,小学
230351103,230351,230351,高中/中专/技校/职高
230391103,230391,230391,高中/中专/技校/职高
230409102,230409,230409,初中
230418103,230418,230418,小学
230342103,124015,230342,小学
230354104,230354,230354,文盲/半文盲
230328103,183312,230328,不适用
230395103,230395,230395,高中/中专/技校/职高
230327103,104521,230327,大专
230554103,202815,230554,大专
230012431,230012,230012,不适用
230592103,230592,230592,高中/中专/技校/职高
230584103,230584,230584,初中
230066103,230066,230066,小学
230068103,230068,230068,小学
230085102,230085,230085,小学
230064103,230064,230064,不适用
230085103,230085,230085,不适用
230069106,230069,230069,小学
230066101,230066,230066,小学
230363102,230363,230363,大学本科
230035103,230035,230035,小学
230364431,230364,230364,高中/中专/技校/职高
230038102,230038,230038,文盲/半文盲
230373104,230373,230373,初中
230053432,230053,230053,高中/中专/技校/职高
230052431,230052,230052,不适用
230050101,230050,230050,文盲/半文盲
230052433,230052,230052,初中
230053431,230053,230053,大专
230059102,223348,230059,小学
230052432,230052,230052,不适用
312306103,312306,312306,文盲/半文盲
312064103,264339,312064,高中/中专/技校/职高
312111102,312111,312111,高中/中专/技校/职高
312092105,185075,312092,小学
312093101,312093,312093,文盲/半文盲
312086431,312086,312086,文盲/半文盲
312058103,312058,312058,大学本科
312105101,312105,312105,高中/中专/技校/职高
312057104,312057,312057,文盲/半文盲
312057105,312057,312057,大专
312064102,264339,312064,文盲/半文盲
310837102,310837,310837,初中
311987106,165614,311987,文盲/半文盲
311552103,311552,311552,文盲/半文盲
311557102,311557,311557,大学本科
311547102,311547,311547,文盲/半文盲
311971103,311971,311971,高中/中专/技校/职高
311416101,311416,311416,文盲/半文盲
311347102,311347,311347,小学
311397102,311397,311397,文盲/半文盲
311387102,311387,311387,文盲/半文盲
311383101,311383,311383,初中
311378101,224879,311378,文盲/半文盲
311333107,311333,311333,不适用
311299103,311299,311299,初中
311300101,311300,311300,初中
311299104,311299,311299,初中
311137101,311137,311137,小学
311137102,311137,311137,不适用
310681102,310681,310681,高中/中专/技校/职高
310678102,310678,310678,初中
310099103,310099,310099,不适用
310099101,310099,310099,高中/中专/技校/职高
310869102,310869,310869,初中
312366531,312366,不适用,不适用
312370102,312370,312370,文盲/半文盲
312375531,312375,不适用,不适用
312419102,312419,312419,文盲/半文盲
312427101,312427,312427,文盲/半文盲
311921431,311921,311921,不适用
311918101,311918,311918,文盲/半文盲
310550103,310550,310550,大专
310558101,310558,310558,文盲/半文盲
311701101,311701,311701,文盲/半文盲
311704102,311704,311704,不适用
311775102,311775,311775,文盲/半文盲
311816102,311816,311816,初中
311799101,311799,311799,小学
311799431,311799,311799,不适用
311785103,311785,311785,不适用
311752101,311752,311752,文盲/半文盲
311785102,311785,311785,不适用
311636101,263992,311636,大专
311199102,311199,311199,不适用
311217101,311217,311217,大学本科
310334102,310334,310334,小学
310284103,310284,310284,文盲/半文盲
310267102,310267,310267,文盲/半文盲
320113102,320113,320113,小学
320113103,320113,320113,小学
320131103,320131,320131,初中
320102103,320102,320102,小学
320102105,320102,320102,高中/中专/技校/职高
320114102,320114,320114,文盲/半文盲
320106102,320106,320106,初中
320122107,320122,320122,大专
320114106,320114,320114,大专
320131101,320131,320131,文盲/半文盲
320104105,320104,320104,高中/中专/技校/职高
320109101,126217,320109,初中
320104103,320104,320104,初中
320132102,185564,320132,初中
320107101,320107,320107,文盲/半文盲
320123104,320123,320123,小学
320077102,320077,320077,不适用
320123102,320123,320123,文盲/半文盲
320083101,320083,320083,小学
320125105,320125,320125,小学
320132103,185564,320132,初中
320106104,320106,320106,文盲/半文盲
320109431,320109,320109,小学
320102104,320102,320102,初中
320130103,320130,320130,文盲/半文盲
320122103,320122,320122,初中
320113431,320113,320113,不适用
320130104,320130,320130,文盲/半文盲
320112102,320112,320112,大专
320103102,320103,320103,小学
320088102,320088,320088,初中
320103103,320103,320103,小学
620260113,294567,620260,小学
320015102,320015,320015,文盲/半文盲
320039102,126162,320039,不适用
320050105,320050,320050,不适用
320039101,126162,320039,高中/中专/技校/职高
320039103,126162,320039,初中
320039104,126162,320039,大专
320016102,320016,320016,文盲/半文盲
320142104,320142,320142,文盲/半文盲
320133104,320133,320133,初中
403235431,403235,403235,初中
320137102,320137,320137,不适用
320133103,106795,320133,初中
320307103,320307,320307,初中
320232103,320232,320232,小学
320226103,320226,320226,初中
320234103,320234,320234,不适用
320203106,320203,320203,高中/中专/技校/职高
320215102,320215,320215,初中
320251104,320251,320251,初中
320221101,320221,320221,初中
320205103,320205,320205,初中
320236104,320236,320236,文盲/半文盲
320236103,320236,320236,小学
330357101,330357,330357,高中/中专/技校/职高
330296104,330296,330296,不适用
330314101,330314,330314,高中/中专/技校/职高
330297102,330297,330297,小学
330285102,330285,330285,文盲/半文盲
330297101,330297,330297,文盲/半文盲
330140102,330140,330140,高中/中专/技校/职高
330258104,330258,330258,不适用
330208101,330208,330208,小学
330191102,330191,330191,初中
330213104,330213,330213,初中
330213103,330213,330213,不适用
330220431,330220,330220,不适用
330215103,330215,330215,初中
330211106,330211,330211,小学
330267101,330267,330267,大专
330197102,265265,330197,不适用
330195101,330195,330195,初中
330094103,1071121,330094,初中
330094105,1071121,330094,小学
330052101,330052,330052,大学本科
340176103,340176,340176,高中/中专/技校/职高
340176101,246346,340176,初中
340214101,340214,340214,小学
340214103,340214,340214,不适用
340225103,340225,340225,初中
340140103,340140,340140,初中
340087434,340087,340087,初中
340085104,186195,340085,不适用
340085103,340085,340085,初中
340087432,340087,340087,初中
340087433,340087,340087,小学
340077102,340077,340077,文盲/半文盲
340087102,340087,340087,文盲/半文盲
340087101,340087,340087,小学
340082102,340082,340082,不适用
340041107,340041,340041,不适用
340035102,340035,340035,文盲/半文盲
340261102,340261,340261,不适用
340294102,340294,340294,小学
340364104,340364,340364,不适用
340289104,340289,340289,初中
340354104,340354,340354,小学
340304104,340304,340304,高中/中专/技校/职高
340361102,340361,340361,不适用
340290104,340290,340290,没数据
340303106,246468,340303,高中/中专/技校/职高
340322103,340322,340322,初中
340304107,340304,340304,不适用
340298105,340298,340298,小学
340293103,340293,340293,初中
340292103,340292,340292,小学
340303105,340303,340303,文盲/半文盲
340292105,167056,340292,高中/中专/技校/职高
340299101,340299,340299,小学
340289103,340289,340289,初中
340290102,340290,340290,高中/中专/技校/职高
340262103,167031,340262,大专
340367103,340367,340367,不适用
340354431,340354,340354,不适用
340357101,340357,340357,初中
340304105,340304,340304,初中
340292102,340292,340292,小学
340298101,340298,340298,初中
340357103,127129,340357,初中
340263102,340263,340263,不适用
340325104,340325,340325,高中/中专/技校/职高
340322102,340322,340322,初中
340326102,340326,340326,大学本科
340330105,265713,340330,初中
340330104,127106,340330,大专
340364103,340364,340364,大专
340262104,167031,340262,高中/中专/技校/职高
340352104,340352,340352,高中/中专/技校/职高
340327104,340327,340327,初中
360157104,360157,360157,小学
340320103,340320,340320,小学
340368104,340368,340368,不适用
340346103,340346,340346,初中
340339105,205711,340339,高中/中专/技校/职高
340320104,340320,340320,小学
340313103,340313,340313,文盲/半文盲
340342103,340342,340342,初中
340312103,285244,340312,初中
340351103,340351,340351,高中/中专/技校/职高
340316105,340316,340316,高中/中专/技校/职高
340348104,340348,340348,初中
340346104,340346,340346,高中/中专/技校/职高
340337103,340337,340337,高中/中专/技校/职高
360218105,206185,360218,不适用
340316104,340316,340316,大学本科
340375103,285301,340375,初中
340342104,107643,340342,不适用
340382104,340382,340382,高中/中专/技校/职高
340349103,167110,340349,大专
340319104,340319,340319,初中
360219431,360219,360219,不适用
360161102,360161,360161,不适用
360219103,360219,360219,大学本科
