pid,fid16,cfps_age,cfps_gender,qea0,qq301,qz202,cfps2016edu
230393105,230393,61,男,在婚（有配偶）,否,6,初中
230054105,230054,17,男,未婚,是,6,小学
210254101,210254,57,男,在婚（有配偶）,否,7,初中
211916101,211916,41,男,在婚（有配偶）,否,7,初中
211388102,211388,16,女,未婚,否,7,初中
211940102,211940,36,男,在婚（有配偶）,否,7,小学
210254103,210254,33,男,在婚（有配偶）,是,7,大专
211926101,211926,33,男,在婚（有配偶）,否,7,初中
230396102,230396,60,男,在婚（有配偶）,否,6,文盲/半文盲
230033101,230033,54,女,在婚（有配偶）,否,6,初中
211926103,401457,58,男,在婚（有配偶）,是,7,小学
230051101,230051,43,男,在婚（有配偶）,是,6,小学
230035103,230035,18,女,未婚,否,6,高中/中专/技校/职高
211924101,211924,61,女,在婚（有配偶）,否,7,初中
211371101,211371,48,男,在婚（有配偶）,是,6,
210254104,210254,33,女,在婚（有配偶）,否,7,大专
211928101,211928,46,女,在婚（有配偶）,是,7,小学
211927101,211927,65,男,在婚（有配偶）,是,7,初中
211917103,211917,66,男,在婚（有配偶）,否,7,文盲/半文盲
211926102,211926,28,女,在婚（有配偶）,否,7,小学
211937106,546249,27,男,在婚（有配偶）,否,7,初中
230366101,230366,66,女,丧偶,否,6,文盲/半文盲
230393102,230393,31,女,在婚（有配偶）,否,6,高中/中专/技校/职高
230368101,230368,47,男,在婚（有配偶）,是,7,高中/中专/技校/职高
230054106,230054,37,男,未婚,否,6,文盲/半文盲
230036102,230036,52,男,在婚（有配偶）,否,6,大专
230382102,230382,38,男,在婚（有配偶）,否,6,初中
211379103,211379,27,男,在婚（有配偶）,否,7,初中
211937104,546249,59,女,在婚（有配偶）,否,7,文盲/半文盲
211929101,211929,70,男,在婚（有配偶）,是,7,文盲/半文盲
211936101,211936,50,男,在婚（有配偶）,否,7,文盲/半文盲
211375102,211375,57,女,在婚（有配偶）,否,3,小学
211392101,211392,66,男,在婚（有配偶）,是,7,文盲/半文盲
230370101,230370,40,女,在婚（有配偶）,否,6,初中
230380431,230380,42,女,在婚（有配偶）,否,6,初中
230036101,230036,49,女,在婚（有配偶）,否,6,大专
210275102,210275,34,女,在婚（有配偶）,否,7,大学本科
211927104,211927,40,女,在婚（有配偶）,否,7,小学
211384103,211384,65,女,在婚（有配偶）,否,3,文盲/半文盲
210194103,161630,21,男,未婚,是,7,初中
211915104,211915,26,女,在婚（有配偶）,否,7,小学
230052101,230052,53,男,在婚（有配偶）,否,5,高中/中专/技校/职高
210603103,717108,34,男,在婚（有配偶）,是,7,高中/中专/技校/职高
230383103,230383,18,男,未婚,否,7,初中
230049101,230049,66,男,在婚（有配偶）,是,5,初中
211913101,211913,48,男,在婚（有配偶）,是,7,小学
211931103,211931,16,女,未婚,否,7,初中
230034102,230034,62,男,在婚（有配偶）,是,5,小学
210275581,210275,58,女,丧偶,否,7,
211921101,211921,46,男,在婚（有配偶）,是,7,初中
211377102,211377,72,女,在婚（有配偶）,否,7,小学
230046102,230046,54,男,在婚（有配偶）,否,6,初中
230393104,230393,59,女,在婚（有配偶）,否,6,文盲/半文盲
230049102,230049,65,女,在婚（有配偶）,是,5,文盲/半文盲
211371105,211371,81,男,丧偶,否,7,文盲/半文盲
230375104,230375,43,男,在婚（有配偶）,否,6,高中/中专/技校/职高
230052431,230052,67,男,丧偶,否,6,高中/中专/技校/职高
230364102,230364,45,男,在婚（有配偶）,否,6,大专
230384102,230384,53,男,在婚（有配偶）,否,6,高中/中专/技校/职高
211384104,211384,43,男,在婚（有配偶）,是,7,初中
211917101,211917,32,女,在婚（有配偶）,否,5,文盲/半文盲
230382432,230382,57,女,在婚（有配偶）,否,7,文盲/半文盲
211379101,211379,58,女,在婚（有配偶）,否,7,初中
210762104,767161,29,男,未婚,否,7,大学本科
230369102,230369,56,男,在婚（有配偶）,是,7,高中/中专/技校/职高
230394102,138434,40,男,在婚（有配偶）,是,6,初中
211914102,211914,48,女,在婚（有配偶）,否,6,文盲/半文盲
230391101,230391,47,男,在婚（有配偶）,否,6,初中
230363101,230363,36,女,在婚（有配偶）,否,7,大学本科
211923101,211923,70,男,在婚（有配偶）,否,7,小学
211384102,211384,67,男,在婚（有配偶）,是,7,文盲/半文盲
211375104,211375,37,女,在婚（有配偶）,否,7,初中
211916102,211916,45,女,在婚（有配偶）,否,7,小学
211375101,211375,73,男,在婚（有配偶）,是,7,高中/中专/技校/职高
211371103,211371,26,女,未婚,否,7,大学本科
210250103,210250,44,女,离婚,否,7,高中/中专/技校/职高
211376101,211376,59,女,在婚（有配偶）,否,7,初中
211940103,106601,62,男,在婚（有配偶）,否,7,文盲/半文盲
211940101,211940,36,女,在婚（有配偶）,否,7,小学
211369102,211369,51,女,在婚（有配偶）,否,7,小学
211375103,211375,37,女,在婚（有配偶）,是,7,小学
230385102,230385,37,男,在婚（有配偶）,否,6,大专
230046104,230046,19,女,未婚,否,6,大专
211930103,211930,24,男,在婚（有配偶）,否,7,高中/中专/技校/职高
230372101,230372,54,女,丧偶,否,6,初中
230382101,230382,41,女,在婚（有配偶）,否,6,初中
230037102,230037,54,男,在婚（有配偶）,否,7,大专
230392101,230392,58,女,在婚（有配偶）,否,7,文盲/半文盲
546249551,546249,21,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
211931102,211931,42,男,在婚（有配偶）,否,7,小学
210250101,210250,71,男,在婚（有配偶）,否,7,大学本科
210254102,210254,57,女,在婚（有配偶）,否,7,初中
230379106,202637,41,男,未婚,否,6,高中/中专/技校/职高
210273101,210273,53,男,在婚（有配偶）,否,7,小学
230364101,230364,45,女,在婚（有配偶）,否,6,高中/中专/技校/职高
211919101,211919,34,女,在婚（有配偶）,否,7,初中
230034101,230034,66,女,在婚（有配偶）,否,6,文盲/半文盲
210273102,210273,50,女,在婚（有配偶）,否,7,初中
211931101,211931,38,女,在婚（有配偶）,否,7,小学
230393101,230393,36,男,在婚（有配偶）,否,7,初中
211915103,211915,49,女,在婚（有配偶）,否,7,小学
211392102,211392,64,女,在婚（有配偶）,否,7,小学
230385101,230385,32,女,在婚（有配偶）,否,7,高中/中专/技校/职高
211921102,211921,46,女,在婚（有配偶）,否,7,文盲/半文盲
230048102,230048,29,男,未婚,是,6,大专
211916104,844546,61,女,在婚（有配偶）,否,7,文盲/半文盲
230375103,230375,72,女,在婚（有配偶）,否,4,文盲/半文盲
211923102,211923,68,女,在婚（有配偶）,否,7,文盲/半文盲
211377101,211377,72,男,在婚（有配偶）,是,7,初中
211936102,211936,48,女,在婚（有配偶）,否,7,小学
230053102,230053,65,男,在婚（有配偶）,否,6,初中
230375105,230375,17,男,未婚,否,6,初中
230047102,230047,60,男,在婚（有配偶）,否,6,高中/中专/技校/职高
211915102,211915,52,男,在婚（有配偶）,否,7,小学
230392102,230392,54,男,在婚（有配偶）,否,7,初中
211916103,844546,64,男,在婚（有配偶）,是,7,初中
230396103,230396,36,男,未婚,,,初中
230054103,230054,70,女,丧偶,否,7,文盲/半文盲
220224102,220224,71,男,在婚（有配偶）,是,不适用,文盲/半文盲
211930101,211930,54,男,在婚（有配偶）,否,7,初中
211387102,211387,67,男,在婚（有配偶）,是,7,小学
312234101,312234,70,男,在婚（有配偶）,否,3,大专
312243101,312243,39,女,在婚（有配偶）,否,6,高中/中专/技校/职高
310521101,310521,74,女,在婚（有配偶）,,,大专
310505581,310505,25,男,在婚（有配偶）,否,7,高中/中专/技校/职高
312270101,312270,88,女,丧偶,否,5,文盲/半文盲
312234102,312234,69,女,在婚（有配偶）,否,5,初中
310521102,310521,78,男,在婚（有配偶）,是,4,大学本科
172669501,172669,34,男,同居,否,不适用,文盲/半文盲
620630101,620630,47,女,在婚（有配偶）,否,不适用,小学
330248104,265309,82,男,丧偶,,,小学
491399431,491399,33,男,在婚（有配偶）,否,不适用,硕士
211199103,130752,28,女,在婚（有配偶）,否,不适用,大专
330248102,265309,48,男,在婚（有配偶）,是,不适用,初中
440288101,270129,44,女,在婚（有配偶）,否,不适用,初中
450039103,336196,34,男,在婚（有配偶）,否,不适用,大专
130752431,130752,29,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
621670102,621670,53,女,在婚（有配偶）,否,不适用,大专
620630103,620630,26,女,在婚（有配偶）,否,不适用,大专
620015103,195421,31,男,在婚（有配偶）,否,不适用,大专
340049103,340049,22,女,未婚,否,不适用,高中/中专/技校/职高
340049104,340049,18,女,未婚,否,不适用,初中
210012104,210012,37,女,在婚（有配偶）,否,不适用,大专
411306105,632898,32,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
441582104,172669,34,女,在婚（有配偶）,否,不适用,小学
210012101,210012,38,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
210553102,210553,83,女,丧偶,,,文盲/半文盲
500187104,134274,42,男,在婚（有配偶）,否,不适用,初中
430026431,430026,78,女,丧偶,否,不适用,小学
330237101,330237,51,男,在婚（有配偶）,是,不适用,初中
210012102,210012,65,男,在婚（有配偶）,否,不适用,初中
340057105,205446,32,女,在婚（有配偶）,否,不适用,小学
340057104,205446,37,男,在婚（有配偶）,否,不适用,小学
441716103,271401,25,男,未婚,否,不适用,高中/中专/技校/职高
440314103,210449,34,男,在婚（有配偶）,否,不适用,初中
210012103,210012,64,女,在婚（有配偶）,否,不适用,初中
441986103,271641,27,女,未婚,否,不适用,初中
510614103,174299,20,男,未婚,否,不适用,初中
370287101,370287,45,女,在婚（有配偶）,否,不适用,小学
430026102,430026,38,女,在婚（有配偶）,否,不适用,大学本科
210553104,210553,50,女,在婚（有配偶）,否,不适用,初中
177667502,177667,29,男,在婚（有配偶）,否,不适用,文盲/半文盲
210588102,210588,39,女,在婚（有配偶）,否,不适用,大学本科
411395104,288088,36,女,在婚（有配偶）,否,不适用,小学
430590102,190572,48,男,在婚（有配偶）,否,7,初中
430026101,430026,49,男,在婚（有配偶）,是,不适用,大学本科
621670101,621670,54,男,在婚（有配偶）,是,不适用,大专
134274501,134274,45,女,在婚（有配偶）,否,不适用,文盲/半文盲
350013103,226829,40,女,在婚（有配偶）,否,不适用,文盲/半文盲
440343106,734558,25,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
411738104,208873,28,女,在婚（有配偶）,否,不适用,初中
210553103,210553,53,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
154663581,154663,45,男,在婚（有配偶）,是,7,
621328105,237506,33,女,在婚（有配偶）,否,不适用,初中
242011501,242011,31,女,在婚（有配偶）,否,不适用,大专
621640101,276322,27,女,在婚（有配偶）,否,不适用,大专
276322501,276322,30,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
210381101,210381,64,女,丧偶,否,不适用,小学
510644105,510644,62,男,在婚（有配偶）,否,不适用,
255716501,255716,27,男,在婚（有配偶）,否,不适用,初中
510586103,135000,23,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
510879103,135165,33,男,在婚（有配偶）,否,不适用,初中
610146103,156575,28,男,未婚,否,不适用,大学本科
500034101,500034,44,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
237506501,237506,40,男,离婚,否,不适用,
430339104,151737,31,女,在婚（有配偶）,否,不适用,大专
135165501,135165,32,女,在婚（有配偶）,否,不适用,小学
135000503,135000,不适用,不适用,在婚（有配偶）,,,
500036101,500036,42,女,在婚（有配偶）,否,不适用,大专
450211104,173257,35,女,在婚（有配偶）,否,不适用,文盲/半文盲
510245104,272520,21,男,未婚,否,不适用,大专
330319103,330319,25,男,未婚,否,不适用,高中/中专/技校/职高
510276103,154663,22,女,未婚,否,不适用,初中
211342103,242011,29,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
500028101,500028,51,男,在婚（有配偶）,否,不适用,
450211103,173257,34,男,在婚（有配偶）,否,不适用,文盲/半文盲
530435101,530435,76,男,在婚（有配偶）,否,不适用,小学
370287103,370287,20,女,未婚,否,不适用,高中/中专/技校/职高
510596102,114882,72,男,在婚（有配偶）,是,不适用,小学
530435531,530435,36,女,在婚（有配偶）,否,不适用,大学本科
410563105,267721,26,男,未婚,是,不适用,大学本科
210871103,210871,26,男,未婚,,,高中/中专/技校/职高
620236101,294541,38,男,在婚（有配偶）,否,不适用,小学
340068105,226511,28,男,离婚,否,不适用,初中
510363107,154759,34,男,在婚（有配偶）,否,不适用,小学
140678431,140678,46,男,在婚（有配偶）,,,高中/中专/技校/职高
230568101,230568,67,男,在婚（有配偶）,是,不适用,小学
130206101,130206,58,男,在婚（有配偶）,否,不适用,大专
350095431,107456,28,女,在婚（有配偶）,否,不适用,初中
500248101,500248,38,女,在婚（有配偶）,否,不适用,
211381102,211381,46,男,在婚（有配偶）,是,不适用,
211193103,211193,38,男,在婚（有配偶）,否,不适用,初中
510243102,510243,57,女,在婚（有配偶）,,,文盲/半文盲
350072102,350072,31,男,在婚（有配偶）,否,不适用,小学
370355103,468745,32,男,在婚（有配偶）,否,不适用,初中
310984103,310984,86,女,离婚,,,高中/中专/技校/职高
350173103,350173,39,男,在婚（有配偶）,,,小学
350105107,127268,39,女,在婚（有配偶）,否,不适用,文盲/半文盲
410989102,410989,46,女,在婚（有配偶）,,,高中/中专/技校/职高
211381103,211381,22,女,未婚,否,不适用,
441639431,441639,29,女,在婚（有配偶）,否,不适用,
211193104,211193,39,女,在婚（有配偶）,否,不适用,初中
510243101,510243,58,男,在婚（有配偶）,否,不适用,初中
350011107,350011,22,男,未婚,是,不适用,高中/中专/技校/职高
140640101,140640,32,男,在婚（有配偶）,否,不适用,小学
360135104,158748,17,女,未婚,否,不适用,初中
130094103,100376,20,男,未婚,否,不适用,
120129103,120129,23,女,未婚,否,不适用,大学本科
340296104,556126,29,男,在婚（有配偶）,否,不适用,大学本科
410447104,109531,19,女,未婚,否,不适用,文盲/半文盲
211889101,211889,60,男,未婚,否,不适用,文盲/半文盲
340312103,285244,40,男,在婚（有配偶）,否,不适用,初中
130500102,219469,35,男,在婚（有配偶）,否,不适用,大专
430556104,110823,32,女,在婚（有配偶）,否,不适用,初中
130490103,693940,36,男,在婚（有配偶）,否,不适用,大专
340073101,226514,36,男,在婚（有配偶）,否,不适用,初中
520408103,135717,25,男,在婚（有配偶）,是,不适用,初中
135717501,135717,26,女,在婚（有配偶）,否,不适用,初中
500247104,233654,29,男,在婚（有配偶）,否,不适用,小学
440345103,673650,32,女,在婚（有配偶）,否,不适用,初中
130500101,219469,31,女,在婚（有配偶）,否,7,初中
370180101,370180,80,女,丧偶,否,不适用,
350105103,127268,40,男,在婚（有配偶）,否,不适用,小学
211889431,211889,54,女,离婚,否,不适用,初中
210630102,260640,29,女,未婚,否,不适用,大专
140209431,199472,31,女,在婚（有配偶）,否,不适用,初中
140209103,199472,30,男,在婚（有配偶）,否,不适用,初中
468745431,468745,33,女,在婚（有配偶）,否,不适用,初中
350072101,350072,28,女,在婚（有配偶）,否,不适用,初中
120018101,120018,36,女,离婚,否,不适用,大学本科
520045104,135379,27,女,在婚（有配偶）,否,不适用,初中
220326101,220326,41,女,离婚,否,不适用,高中/中专/技校/职高
211617101,211617,81,男,丧偶,否,不适用,高中/中专/技校/职高
350095103,107456,28,男,在婚（有配偶）,是,不适用,初中
230568431,230568,37,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
620340102,182613,38,男,在婚（有配偶）,否,不适用,初中
430590104,190572,16,男,未婚,否,不适用,初中
291414431,291414,28,男,在婚（有配偶）,否,不适用,初中
130206102,130206,33,男,未婚,是,不适用,高中/中专/技校/职高
110493501,110493,24,女,同居,否,不适用,大学本科
740544431,740544,27,男,在婚（有配偶）,否,不适用,小学
370540103,213628,30,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
920401431,920401,27,男,在婚（有配偶）,否,不适用,
219867501,219867,30,女,在婚（有配偶）,否,不适用,大学本科
410438105,149709,25,男,未婚,否,不适用,初中
130703103,198996,60,女,在婚（有配偶）,否,不适用,文盲/半文盲
430496103,209246,30,女,未婚,否,不适用,大专
130154104,130154,41,女,在婚（有配偶）,否,不适用,初中
130896103,219867,30,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
130703101,198996,58,男,在婚（有配偶）,,,高中/中专/技校/职高
410403104,228579,30,女,在婚（有配偶）,否,不适用,大专
410925101,208100,35,女,在婚（有配偶）,否,不适用,文盲/半文盲
410403106,267541,27,女,未婚,否,不适用,高中/中专/技校/职高
370540101,213628,52,男,在婚（有配偶）,是,不适用,初中
410873103,410873,34,男,在婚（有配偶）,否,不适用,大学本科
130703105,198996,31,女,在婚（有配偶）,否,不适用,初中
411029103,110241,33,男,在婚（有配偶）,否,不适用,初中
211526103,242216,28,女,在婚（有配偶）,否,不适用,大专
130154103,130154,41,男,在婚（有配偶）,否,不适用,初中
130154106,130154,18,女,未婚,否,不适用,高中/中专/技校/职高
249302501,249302,26,男,在婚（有配偶）,否,不适用,大专
620603101,992473,21,男,未婚,否,不适用,初中
621684105,982482,72,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
410438104,149709,32,男,在婚（有配偶）,否,不适用,大专
130703104,198996,33,男,在婚（有配偶）,否,不适用,初中
510963105,257600,23,女,未婚,否,不适用,大专
130911103,160582,34,男,在婚（有配偶）,否,不适用,初中
130154101,130154,67,女,丧偶,否,不适用,小学
228579501,228579,29,男,在婚（有配偶）,否,不适用,
520516104,135830,34,男,在婚（有配偶）,是,不适用,初中
410711102,410711,60,男,在婚（有配偶）,是,不适用,初中
440288102,983322,47,男,在婚（有配偶）,是,不适用,初中
411313103,110493,23,男,同居,否,不适用,大专
149709501,149709,30,女,在婚（有配偶）,否,不适用,大专
230397103,230397,19,女,未婚,否,不适用,大专
410938431,268100,23,女,在婚（有配偶）,是,不适用,初中
620603103,620603,44,男,在婚（有配偶）,否,不适用,小学
620611102,620611,84,女,丧偶,,,高中/中专/技校/职高
370257101,370257,30,男,在婚（有配偶）,是,不适用,初中
130167104,100531,31,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
620945104,620945,38,女,在婚（有配偶）,否,不适用,文盲/半文盲
410735105,109121,40,女,在婚（有配偶）,否,不适用,小学
130489104,130489,71,女,在婚（有配偶）,否,7,文盲/半文盲
620055103,620055,33,男,在婚（有配偶）,否,不适用,初中
441631103,133447,28,男,未婚,否,不适用,大学本科
620743105,620743,17,女,未婚,否,不适用,小学
420269103,144748,28,男,未婚,否,不适用,初中
621563105,621563,21,男,未婚,是,不适用,初中
2489151501,2489151,44,男,在婚（有配偶）,是,不适用,小学
620166103,620166,20,男,未婚,否,不适用,大专
411517101,268627,53,女,在婚（有配偶）,否,不适用,初中
621283103,133221,30,男,在婚（有配偶）,否,不适用,大学本科
110041102,110041,51,男,在婚（有配偶）,否,不适用,大专
620074104,620074,20,男,未婚,否,不适用,高中/中专/技校/职高
410796103,410796,26,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
621349103,199961,26,男,在婚（有配偶）,否,不适用,小学
620761104,166426,26,男,在婚（有配偶）,否,不适用,初中
166426551,166426,24,女,在婚（有配偶）,否,不适用,初中
410954107,2489151,21,男,未婚,否,不适用,初中
110024102,110024,80,男,丧偶,,,初中
621563103,200118,29,男,在婚（有配偶）,是,不适用,文盲/半文盲
620253104,620253,38,男,在婚（有配偶）,否,不适用,初中
520567103,131385,38,男,未婚,否,不适用,初中
620657104,620657,25,男,未婚,否,不适用,大学本科
520074105,520074,24,男,未婚,否,不适用,高中/中专/技校/职高
430123103,136896,29,男,未婚,否,不适用,大学本科
620137101,620137,45,男,在婚（有配偶）,否,不适用,文盲/半文盲
140238101,140238,50,女,在婚（有配偶）,否,不适用,小学
210936102,210936,50,男,在婚（有配偶）,否,不适用,
330231103,330231,25,女,未婚,否,不适用,大专
510332102,510332,51,男,在婚（有配偶）,是,不适用,
230059101,230059,30,女,在婚（有配偶）,否,不适用,小学
110108104,110108,32,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
610313103,165746,27,男,在婚（有配偶）,否,不适用,小学
610314105,610314,26,女,在婚（有配偶）,否,不适用,文盲/半文盲
370257102,370257,31,女,在婚（有配偶）,否,不适用,小学
411788104,535419,30,男,在婚（有配偶）,否,不适用,大学本科
216268502,216268,31,男,在婚（有配偶）,否,不适用,小学
411299103,411299,61,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
620253103,620253,38,男,在婚（有配偶）,否,不适用,初中
130206104,130206,59,女,在婚（有配偶）,否,不适用,初中
216164501,216164,32,女,在婚（有配偶）,否,不适用,文盲/半文盲
621579103,235422,37,男,在婚（有配偶）,否,不适用,小学
370760102,247886,64,女,在婚（有配偶）,是,不适用,文盲/半文盲
441631107,1334473,21,男,未婚,是,不适用,初中
620769103,620769,46,男,在婚（有配偶）,否,不适用,小学
621552102,167081,29,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
330140102,225789,26,男,未婚,否,不适用,硕士
2489151502,2489151,43,女,在婚（有配偶）,否,不适用,文盲/半文盲
620945103,620945,39,男,在婚（有配偶）,否,不适用,初中
410950103,287664,40,男,在婚（有配偶）,否,不适用,初中
430323102,145120,50,女,在婚（有配偶）,否,不适用,小学
410735106,109121,34,女,在婚（有配偶）,否,不适用,初中
621563106,200118,29,女,在婚（有配偶）,否,不适用,小学
610063105,610063,44,男,在婚（有配偶）,否,不适用,初中
410735103,109121,40,男,在婚（有配偶）,否,不适用,初中
621591103,295893,34,男,在婚（有配偶）,是,不适用,大专
242216501,242216,28,男,在婚（有配偶）,否,不适用,大专
140238102,140238,48,男,在婚（有配偶）,是,不适用,文盲/半文盲
620142103,620142,18,男,未婚,否,不适用,初中
620127104,216268,28,女,在婚（有配偶）,否,不适用,小学
130816103,278358,27,女,在婚（有配偶）,否,不适用,小学
620441104,176528,25,男,未婚,否,不适用,大专
620763103,199459,29,男,未婚,否,不适用,高中/中专/技校/职高
610220103,610220,21,女,未婚,是,不适用,大专
621563104,621563,24,男,在婚（有配偶）,是,不适用,文盲/半文盲
610045104,610045,21,男,未婚,否,不适用,小学
140253431,140253,27,男,在婚（有配偶）,否,不适用,初中
610091103,156520,27,女,在婚（有配偶）,否,不适用,初中
621816103,133640,37,男,未婚,否,不适用,大学本科
520555102,520555,54,男,在婚（有配偶）,否,不适用,初中
621151103,183285,35,男,在婚（有配偶）,否,不适用,
620607102,620607,62,女,在婚（有配偶）,,,文盲/半文盲
411016103,188926,34,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
620719106,132738,28,女,在婚（有配偶）,否,不适用,文盲/半文盲
620451104,195889,28,男,未婚,否,不适用,初中
621521105,621521,31,男,在婚（有配偶）,是,不适用,小学
