pid,fid18,age,gender_update,qea0,qq301,kz202,cfps2018edu
110020105,500224,48,女,在婚（有配偶）,否,6,大专
110020106,222320,42,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110020107,500224,17,女,未婚,否,6,初中
110020108,110020,12,男,没有有效数据,否,6,小学
110024102,110024,82,,,,,初中
110026101,110026,41,女,在婚（有配偶）,否,6,大专
110026102,110026,45,男,在婚（有配偶）,否,6,大学本科
110026103,110026,13,男,没有有效数据,否,7,小学
110026104,110026,74,女,丧偶,否,5,初中
110027101,110027,80,男,在婚（有配偶）,否,6,高中/中专/技校/职高
110027102,110027,81,,,,,高中/中专/技校/职高
110030101,110030,68,男,在婚（有配偶）,否,7,初中
110030431,110030,70,女,在婚（有配偶）,否,6,初中
110031101,110031,59,女,在婚（有配偶）,否,6,高中/中专/技校/职高
110033101,110033,53,男,在婚（有配偶）,不适用,不适用,高中/中专/技校/职高
110035101,110035,65,女,在婚（有配偶）,否,不适用,初中
110035102,110035,65,男,在婚（有配偶）,否,不适用,初中
110035103,110035,88,,,,,文盲/半文盲
110041101,110041,50,女,在婚（有配偶）,否,5,高中/中专/技校/职高
110041102,110041,53,男,在婚（有配偶）,否,6,大专
110041103,110041,17,男,未婚,否,6,初中
110043101,110043,58,男,在婚（有配偶）,否,7,高中/中专/技校/职高
110043102,110043,45,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110043103,110043,33,男,在婚（有配偶）,否,7,大学本科
110043104,110043,16,女,未婚,否,7,初中
110043107,100051,24,男,未婚,否,不适用,大专
110045101,110045,86,女,丧偶,否,5,文盲/半文盲
110047101,110047,62,男,在婚（有配偶）,否,不适用,大专
110047102,110047,41,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110047103,110047,15,男,没有有效数据,否,不适用,初中
110050101,110050,87,女,丧偶,否,4,初中
110050102,110050,37,女,在婚（有配偶）,否,7,高中/中专/技校/职高
110050103,110050,38,男,在婚（有配偶）,是,7,高中/中专/技校/职高
110051101,159466,57,女,在婚（有配偶）,否,6,高中/中专/技校/职高
110051102,159466,86,,,,,文盲/半文盲
110051103,159466,58,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110051104,576080,32,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110052101,110052,58,女,在婚（有配偶）,否,7,高中/中专/技校/职高
110052102,110052,79,女,丧偶,否,6,文盲/半文盲
110052104,110052,32,男,在婚（有配偶）,否,7,大专
110052431,110052,30,女,在婚（有配偶）,否,7,大专
110057101,110057,68,男,在婚（有配偶）,否,4,初中
110057102,110057,69,女,在婚（有配偶）,否,7,初中
110060101,110060,71,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110060102,110060,68,女,在婚（有配偶）,是,不适用,高中/中专/技校/职高
110060103,110060,38,女,在婚（有配偶）,是,不适用,大专
110062101,110062,60,女,在婚（有配偶）,否,7,初中
110062102,110062,59,男,在婚（有配偶）,是,7,高中/中专/技校/职高
110062531,110062,31,女,在婚（有配偶）,否,7,高中/中专/技校/职高
110064101,110064,38,男,离婚,否,不适用,大专
110065102,110065,34,男,离婚,否,不适用,高中/中专/技校/职高
110067101,110067,32,女,未婚,否,不适用,大学本科
110069101,110069,67,女,在婚（有配偶）,否,6,初中
110069102,110069,68,男,在婚（有配偶）,否,5,初中
110069103,110069,39,男,未婚,否,6,大学本科
110071101,110071,68,女,在婚（有配偶）,否,7,初中
110071102,110071,71,男,在婚（有配偶）,否,5,高中/中专/技校/职高
110072101,110072,70,男,在婚（有配偶）,否,4,大专
110072102,110072,70,女,在婚（有配偶）,否,6,高中/中专/技校/职高
110073101,110073,85,女,丧偶,否,7,文盲/半文盲
110074102,110074,68,女,丧偶,否,5,初中
110075101,258148,49,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110075102,258148,48,女,在婚（有配偶）,否,不适用,初中
110076101,110076,58,女,未婚,否,7,大专
110078101,110078,49,男,在婚（有配偶）,否,5,初中
110078102,110078,79,男,在婚（有配偶）,否,4,大学本科
110078103,110078,79,女,在婚（有配偶）,否,5,小学
110078104,110078,44,女,在婚（有配偶）,否,7,大专
110078105,110078,19,男,未婚,是,6,高中/中专/技校/职高
110079101,110079,50,男,在婚（有配偶）,否,7,小学
110081101,110081,66,男,在婚（有配偶）,否,不适用,初中
110081102,110081,63,女,在婚（有配偶）,否,不适用,初中
110081104,110081,89,,,,,文盲/半文盲
110083101,110083,69,男,在婚（有配偶）,是,5,小学
110083102,110083,68,女,在婚（有配偶）,否,5,初中
110083103,110083,40,男,在婚（有配偶）,否,6,高中/中专/技校/职高
110083104,110083,39,女,在婚（有配偶）,否,6,大专
110084101,110084,60,女,在婚（有配偶）,否,7,文盲/半文盲
110084102,110084,60,男,在婚（有配偶）,否,6,高中/中专/技校/职高
110092103,110092,59,男,在婚（有配偶）,是,5,高中/中专/技校/职高
110092104,110092,55,女,在婚（有配偶）,否,2,高中/中专/技校/职高
110092105,110092,16,男,未婚,否,7,初中
110107102,110107,58,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
110108101,110108,60,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
110108102,110108,60,男,在婚（有配偶）,否,不适用,初中
110108103,110108,35,男,在婚（有配偶）,否,不适用,大专
110108104,110108,34,女,在婚（有配偶）,否,不适用,大专
110111101,110111,65,女,在婚（有配偶）,否,不适用,大学本科
110111102,110111,65,男,在婚（有配偶）,是,不适用,初中
110111103,110111,37,女,在婚（有配偶）,否,不适用,大专
110113101,110113,64,女,在婚（有配偶）,否,5,初中
110113102,110113,65,男,在婚（有配偶）,否,6,高中/中专/技校/职高
110114101,110114,65,男,在婚（有配偶）,否,7,大专
110114102,110114,62,女,在婚（有配偶）,否,5,大专
110114103,110114,22,女,未婚,否,7,大专
110119101,110119,74,女,未婚,否,5,大专
110120101,110120,58,女,丧偶,否,不适用,高中/中专/技校/职高
110123101,110123,85,,,,,大专
110123102,110123,81,女,在婚（有配偶）,否,不适用,大专
110124101,110124,38,男,在婚（有配偶）,否,不适用,大学本科
110124102,110124,34,女,在婚（有配偶）,否,不适用,大学本科
110125101,110125,65,女,在婚（有配偶）,否,4,高中/中专/技校/职高
110125102,110125,64,男,在婚（有配偶）,否,4,初中
110125103,110125,85,,,,,文盲/半文盲
110126101,110126,65,男,在婚（有配偶）,否,不适用,初中
110126102,110126,65,女,在婚（有配偶）,否,不适用,初中
110160101,159550,60,男,在婚（有配偶）,不适用,不适用,初中
110165101,110165,46,女,在婚（有配偶）,否,6,高中/中专/技校/职高
110165102,110165,48,男,在婚（有配偶）,否,6,大学本科
110165103,110165,19,女,未婚,否,7,高中/中专/技校/职高
110493501,110493,26,女,在婚（有配偶）,否,不适用,大学本科
110519501,110519,29,,,,,高中/中专/技校/职高
110717501,110717,39,男,在婚（有配偶）,否,不适用,初中
110754501,110754,27,男,在婚（有配偶）,否,7,初中
110935552,110935,57,,,,,初中
111065501,111065,28,男,在婚（有配偶）,否,5,大专
111230551,111230,28,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
111272601,111272,25,男,在婚（有配偶）,否,不适用,小学
111308551,111308,40,男,在婚（有配偶）,否,不适用,初中
113499602,113499,20,男,在婚（有配偶）,否,6,小学
114015602,114015,27,男,在婚（有配偶）,不适用,不适用,高中/中专/技校/职高
114130551,114130,51,男,在婚（有配偶）,是,不适用,小学
114130552,114130,45,女,在婚（有配偶）,否,不适用,初中
114130553,114130,23,男,在婚（有配偶）,否,不适用,小学
114900431,114900,28,女,在婚（有配偶）,否,7,初中
115395551,115395,30,女,在婚（有配偶）,否,6,大专
115565551,115565,32,男,在婚（有配偶）,否,不适用,大专
115788432,115788,32,男,在婚（有配偶）,否,不适用,初中
115961501,115961,32,女,在婚（有配偶）,否,不适用,小学
115986501,115986,28,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
116140601,116140,28,男,在婚（有配偶）,否,不适用,初中
117227551,117227,31,男,在婚（有配偶）,否,不适用,硕士
117517552,117517,27,女,在婚（有配偶）,否,不适用,大学本科
118404501,118404,34,男,在婚（有配偶）,否,7,大学本科
119569501,120109,33,女,在婚（有配偶）,否,6,高中/中专/技校/职高
120001101,120001,39,女,在婚（有配偶）,否,6,高中/中专/技校/职高
120001102,120001,43,男,在婚（有配偶）,是,6,小学
120001103,120001,14,女,没有有效数据,否,6,小学
120004101,120004,72,男,在婚（有配偶）,否,5,高中/中专/技校/职高
120004102,120004,71,女,在婚（有配偶）,否,5,初中
120007101,120007,38,男,在婚（有配偶）,是,5,大学本科
120008101,120008,54,男,在婚（有配偶）,是,7,大学本科
120008102,120008,53,女,在婚（有配偶）,否,7,初中
120008103,647824,30,女,在婚（有配偶）,否,7,大学本科
120009101,120009,54,男,在婚（有配偶）,是,5,大专
120009102,100160,27,女,在婚（有配偶）,否,6,大学本科
120009103,120009,17,男,未婚,否,6,初中
120009104,120009,45,女,在婚（有配偶）,否,6,大学本科
120012101,120012,38,男,在婚（有配偶）,是,5,大专
120012102,120012,37,女,在婚（有配偶）,否,5,大学本科
120012103,120012,12,女,没有有效数据,否,6,小学
120013101,120013,41,女,在婚（有配偶）,否,6,硕士
120013102,120013,73,,,,,高中/中专/技校/职高
120013103,120013,72,女,在婚（有配偶）,否,5,小学
120013104,120013,16,男,未婚,否,6,初中
120013105,120013,40,男,在婚（有配偶）,是,6,大专
120018101,120018,38,女,离婚,否,不适用,大学本科
120018102,120018,15,女,没有有效数据,否,不适用,初中
120020101,120020,54,女,在婚（有配偶）,否,7,高中/中专/技校/职高
120020102,120020,53,男,在婚（有配偶）,否,7,大专
120023101,120023,57,女,在婚（有配偶）,否,6,初中
120024101,221399,42,女,在婚（有配偶）,否,不适用,大学本科
120024102,221399,48,男,在婚（有配偶）,是,不适用,大专
120024103,120024,70,男,在婚（有配偶）,是,6,文盲/半文盲
120024104,120024,71,女,在婚（有配偶）,否,4,文盲/半文盲
120026101,120026,46,女,在婚（有配偶）,否,7,大专
120026102,120026,46,男,在婚（有配偶）,否,7,大专
120026103,120026,21,男,未婚,否,不适用,高中/中专/技校/职高
120029101,120029,35,女,在婚（有配偶）,否,7,高中/中专/技校/职高
120029102,120029,38,男,在婚（有配偶）,是,7,高中/中专/技校/职高
120029103,120029,10,男,没有有效数据,否,7,文盲/半文盲
120031101,120031,60,女,在婚（有配偶）,否,7,初中
120031102,120031,61,男,在婚（有配偶）,否,5,初中
120031103,134206,29,女,在婚（有配偶）,否,5,大学本科
120032101,120032,37,女,在婚（有配偶）,否,3,高中/中专/技校/职高
120032103,120032,14,女,没有有效数据,否,7,初中
120033101,198275,65,女,在婚（有配偶）,否,5,文盲/半文盲
120033103,120033,28,男,离婚,否,7,大专
120034101,120034,63,男,在婚（有配偶）,否,不适用,初中
120034103,120034,30,女,在婚（有配偶）,否,不适用,大学本科
120034104,120034,62,女,在婚（有配偶）,否,不适用,初中
120035101,120035,46,男,在婚（有配偶）,是,7,初中
120035102,120035,41,女,在婚（有配偶）,否,7,初中
120035103,120035,19,男,未婚,否,7,高中/中专/技校/职高
120036101,120036,78,男,在婚（有配偶）,否,5,小学
120036102,120036,75,女,在婚（有配偶）,否,4,文盲/半文盲
120039101,120039,35,女,在婚（有配偶）,否,7,大专
120039102,120039,36,男,在婚（有配偶）,否,7,大专
120039431,120039,58,女,丧偶,否,7,初中
120046101,120046,62,女,在婚（有配偶）,否,6,初中
120046102,120046,62,男,在婚（有配偶）,否,7,大专
120046103,665820,28,女,在婚（有配偶）,否,7,大学本科
120046431,665820,29,,,,,大专
120050101,120050,52,男,在婚（有配偶）,否,7,初中
120050102,120050,47,女,在婚（有配偶）,否,7,小学
120051101,120051,59,女,在婚（有配偶）,否,4,文盲/半文盲
120051103,538178,23,女,在婚（有配偶）,否,7,高中/中专/技校/职高
120056101,120056,48,女,在婚（有配偶）,否,7,大学本科
120056102,120056,51,男,在婚（有配偶）,否,5,初中
120056103,519358,27,男,在婚（有配偶）,否,7,大学本科
120056551,519358,27,女,在婚（有配偶）,否,7,大学本科
120058101,120058,56,女,在婚（有配偶）,否,不适用,小学
120058102,120058,56,男,在婚（有配偶）,否,不适用,初中
120058103,120058,20,男,未婚,否,不适用,高中/中专/技校/职高
120063101,120063,38,男,在婚（有配偶）,否,7,大学本科
120063102,120063,40,女,在婚（有配偶）,否,7,大学本科
120063103,120063,14,男,没有有效数据,否,7,小学
120065101,120065,82,女,丧偶,否,5,文盲/半文盲
120071101,120071,43,女,在婚（有配偶）,否,5,高中/中专/技校/职高
120071102,120071,45,男,在婚（有配偶）,否,6,高中/中专/技校/职高
120071103,120071,19,男,未婚,否,6,高中/中专/技校/职高
120072102,120072,39,女,离婚,否,5,高中/中专/技校/职高
120072103,120072,17,女,未婚,否,5,初中
120073101,120073,65,男,在婚（有配偶）,是,6,文盲/半文盲
120073102,120073,64,女,在婚（有配偶）,否,7,文盲/半文盲
120074101,120074,65,男,在婚（有配偶）,否,7,文盲/半文盲
120074102,120074,66,女,在婚（有配偶）,否,7,文盲/半文盲
120075101,120075,65,男,在婚（有配偶）,否,6,文盲/半文盲
120075102,120075,66,女,在婚（有配偶）,否,7,文盲/半文盲
120077101,120077,54,女,丧偶,否,7,小学
120077103,120077,28,男,未婚,否,不适用,高中/中专/技校/职高
120078101,120078,75,男,在婚（有配偶）,是,7,文盲/半文盲
120078102,120078,75,,,,,文盲/半文盲
120078104,120078,36,女,在婚（有配偶）,否,7,初中
120078105,120078,14,男,没有有效数据,否,7,小学
120079101,120079,67,,,,,文盲/半文盲
120079102,120079,70,,,,,文盲/半文盲
120080101,120080,55,女,在婚（有配偶）,否,7,初中
120080102,120080,53,男,在婚（有配偶）,否,7,高中/中专/技校/职高
120080103,120080,31,女,未婚,否,不适用,大学本科
120080431,200914,28,女,在婚（有配偶）,否,不适用,初中
120081101,120081,83,,,,,文盲/半文盲
120081102,120081,51,男,在婚（有配偶）,是,2,文盲/半文盲
120081103,120081,50,女,在婚（有配偶）,否,7,小学
120081105,120081,11,男,没有有效数据,否,7,文盲/半文盲
120082101,120082,36,女,在婚（有配偶）,否,不适用,初中
120082102,120082,66,男,在婚（有配偶）,是,7,初中
120082103,120082,60,女,在婚（有配偶）,否,7,文盲/半文盲
120082104,120082,37,男,在婚（有配偶）,是,7,初中
120082105,120082,15,女,没有有效数据,否,7,小学
120082106,120082,10,男,没有有效数据,否,7,文盲/半文盲
120084102,120084,64,男,在婚（有配偶）,否,7,初中
120086102,120086,68,,,,,文盲/半文盲
120086103,120086,41,女,在婚（有配偶）,否,不适用,小学
120087102,120087,60,男,在婚（有配偶）,否,5,小学
120087103,120087,61,女,在婚（有配偶）,否,7,文盲/半文盲
120088102,120088,65,,,,,文盲/半文盲
120088103,120088,33,女,在婚（有配偶）,否,7,文盲/半文盲
120089102,120089,62,男,在婚（有配偶）,否,7,初中
120090101,120090,52,女,在婚（有配偶）,否,不适用,小学
120090102,120090,51,男,在婚（有配偶）,是,不适用,小学
120090104,120090,24,,,,,高中/中专/技校/职高
120091101,120091,58,男,在婚（有配偶）,否,5,初中
120091102,120091,60,女,在婚（有配偶）,否,5,文盲/半文盲
120091103,120091,25,男,未婚,否,5,初中
120092101,120092,55,男,在婚（有配偶）,是,5,初中
120092102,120092,55,女,在婚（有配偶）,否,5,初中
120092104,120092,29,男,未婚,否,6,初中
120093101,120093,44,男,在婚（有配偶）,否,6,初中
120093102,120093,44,女,在婚（有配偶）,否,6,初中
120093103,120093,71,男,在婚（有配偶）,否,6,文盲/半文盲
120093104,120093,72,女,在婚（有配偶）,否,5,文盲/半文盲
120093105,120093,20,男,未婚,否,6,高中/中专/技校/职高
120094101,120094,72,男,在婚（有配偶）,否,7,小学
120094102,120094,69,,,,,小学
120094103,200926,24,女,在婚（有配偶）,否,不适用,高中/中专/技校/职高
120095101,120095,40,男,离婚,是,7,高中/中专/技校/职高
120096101,120096,66,女,在婚（有配偶）,否,5,小学
120096102,120096,65,男,在婚（有配偶）,否,5,文盲/半文盲
120096103,116939,38,男,在婚（有配偶）,否,7,高中/中专/技校/职高
120096104,116939,37,女,在婚（有配偶）,否,7,初中
120096105,116939,16,女,未婚,否,7,初中
120096106,116939,11,男,没有有效数据,否,7,文盲/半文盲
120097101,277538,30,男,在婚（有配偶）,否,6,大专
120097102,277538,52,男,在婚（有配偶）,是,5,文盲/半文盲
120097103,277538,53,女,在婚（有配偶）,否,5,初中
120097104,120097,81,男,在婚（有配偶）,否,4,文盲/半文盲
120097105,120097,80,,,,,文盲/半文盲
120097431,277538,30,女,在婚（有配偶）,否,6,大专
120100101,120100,54,男,在婚（有配偶）,是,5,初中
120100102,120100,54,女,在婚（有配偶）,否,5,初中
120100103,120100,29,男,在婚（有配偶）,是,6,高中/中专/技校/职高
120100104,120100,28,女,在婚（有配偶）,否,5,大专
120100105,120100,21,男,未婚,否,5,高中/中专/技校/职高
120101101,120101,43,男,在婚（有配偶）,是,5,初中
120101102,120101,42,女,在婚（有配偶）,是,6,初中
120101103,120101,21,女,未婚,否,6,高中/中专/技校/职高
120101104,120101,11,女,没有有效数据,否,6,文盲/半文盲
120102101,120102,60,女,在婚（有配偶）,否,3,小学
120102102,120102,68,男,在婚（有配偶）,是,4,文盲/半文盲
120102103,120102,31,男,在婚（有配偶）,否,6,初中
120102431,120102,28,女,在婚（有配偶）,否,5,大专
120103101,120103,38,女,在婚（有配偶）,否,5,小学
120103102,120103,66,男,在婚（有配偶）,否,5,文盲/半文盲
120103103,120103,40,男,在婚（有配偶）,否,5,大专
120103104,120103,66,女,在婚（有配偶）,否,6,文盲/半文盲
120103105,120103,16,男,未婚,否,5,初中
120104101,120104,64,男,丧偶,否,5,文盲/半文盲
120104103,120104,38,男,离婚,否,5,初中
120108102,120108,47,男,在婚（有配偶）,否,5,高中/中专/技校/职高
120108103,120108,41,女,在婚（有配偶）,否,6,大专
120109101,120109,32,男,在婚（有配偶）,是,5,高中/中专/技校/职高
120109102,120109,60,男,在婚（有配偶）,否,5,初中
120109103,120109,59,女,在婚（有配偶）,否,5,初中
120110101,120110,58,男,在婚（有配偶）,否,5,初中
120110102,120110,59,女,在婚（有配偶）,否,5,初中
120111101,120111,56,女,在婚（有配偶）,否,6,高中/中专/技校/职高
120111102,721632,33,男,在婚（有配偶）,否,不适用,大专
120111103,120111,55,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
120113101,120113,63,男,在婚（有配偶）,否,5,大学本科
120114102,556201,65,女,在婚（有配偶）,否,5,高中/中专/技校/职高
120114103,120114,93,,,,,初中
120125101,120125,62,女,离婚,否,不适用,初中
120126101,120126,75,女,在婚（有配偶）,否,5,文盲/半文盲
120126102,120126,80,,,,,文盲/半文盲
120129101,120129,49,女,在婚（有配偶）,否,6,初中
120129102,120129,50,男,在婚（有配偶）,否,5,初中
120129103,556208,25,女,未婚,否,不适用,大学本科
120131101,120131,46,女,在婚（有配偶）,否,6,大专
120131102,500673,48,男,离婚,不适用,不适用,小学
120131103,120131,18,男,未婚,是,6,初中
120162551,120162,28,女,在婚（有配偶）,否,7,初中
120569551,120569,60,男,在婚（有配偶）,否,5,小学
121095551,121095,28,男,在婚（有配偶）,是,5,大专
121095553,121095,52,女,在婚（有配偶）,否,3,初中
121265551,121265,32,男,在婚（有配偶）,否,5,大学本科
122426431,122426,45,女,在婚（有配偶）,否,5,初中
123392551,123392,48,男,在婚（有配偶）,否,不适用,大学本科
123731551,123731,25,男,在婚（有配偶）,是,不适用,大专
123758551,123758,31,男,在婚（有配偶）,否,不适用,硕士
123804501,123804,26,女,在婚（有配偶）,否,5,高中/中专/技校/职高
123844601,123844,73,男,在婚（有配偶）,是,7,初中
124079501,124079,31,男,在婚（有配偶）,否,不适用,大专
125126551,125126,29,男,在婚（有配偶）,否,不适用,小学
125984553,125984,29,男,在婚（有配偶）,否,不适用,初中
126209601,126209,19,女,同居,否,不适用,大专
126729601,126729,24,男,在婚（有配偶）,否,不适用,小学
127185501,127185,33,女,在婚（有配偶）,否,6,大学本科
127580551,127580,33,男,在婚（有配偶）,否,不适用,初中
127689502,360321,10,男,没有有效数据,否,5,文盲/半文盲
127889551,127889,39,男,在婚（有配偶）,否,不适用,小学
127889555,127889,65,男,在婚（有配偶）,否,5,文盲/半文盲
127889556,127889,62,女,在婚（有配偶）,否,4,文盲/半文盲
128083501,128083,31,女,在婚（有配偶）,否,7,初中
128367502,128367,31,男,在婚（有配偶）,是,不适用,小学
128750501,128750,30,男,在婚（有配偶）,否,7,初中
128840601,128840,23,女,在婚（有配偶）,否,7,初中
128969501,128969,27,男,在婚（有配偶）,是,不适用,初中
128978501,128978,33,女,在婚（有配偶）,否,7,高中/中专/技校/职高
129339501,129339,31,女,在婚（有配偶）,不适用,不适用,大专
130001101,130001,63,女,在婚（有配偶）,否,6,文盲/半文盲
130001102,130001,62,男,在婚（有配偶）,否,6,初中
130001103,130001,38,女,在婚（有配偶）,否,7,文盲/半文盲
130001105,130001,10,女,没有有效数据,否,6,文盲/半文盲
130002101,130002,49,女,丧偶,否,6,小学
130002102,130002,15,男,没有有效数据,否,7,初中
130004101,130004,44,女,在婚（有配偶）,否,6,初中
130004103,130004,19,男,未婚,否,7,高中/中专/技校/职高
130005101,130005,68,男,在婚（有配偶）,是,6,初中
130005102,130005,64,,,,,文盲/半文盲
130005103,100286,40,男,离婚,否,不适用,文盲/半文盲
130005104,130005,13,女,没有有效数据,否,6,小学
130006101,130006,61,女,丧偶,否,6,文盲/半文盲
130007101,130007,58,女,在婚（有配偶）,否,5,文盲/半文盲
130007102,130007,58,,,,,文盲/半文盲
130007104,130007,32,男,未婚,否,不适用,初中
130008103,130008,31,男,在婚（有配偶）,否,不适用,初中
130009101,130009,53,女,在婚（有配偶）,否,4,文盲/半文盲
130009102,130009,75,,,,,文盲/半文盲
130009103,130009,54,男,在婚（有配偶）,是,7,初中
130010101,130010,50,女,丧偶,否,7,文盲/半文盲
130010102,130010,30,男,未婚,否,7,小学
130010432,130010,85,女,丧偶,是,6,文盲/半文盲
130011101,130011,64,女,在婚（有配偶）,否,6,文盲/半文盲
130012102,130012,58,男,在婚（有配偶）,是,7,小学
130012103,159702,29,男,在婚（有配偶）,是,不适用,高中/中专/技校/职高
130012104,239068,29,男,在婚（有配偶）,否,不适用,初中
130013101,130013,62,女,在婚（有配偶）,否,6,文盲/半文盲
130013102,130013,65,男,在婚（有配偶）,否,6,小学
130013103,130013,33,男,未婚,否,7,初中
130013104,130013,33,男,未婚,否,6,初中
130017101,130017,66,女,在婚（有配偶）,否,不适用,文盲/半文盲
130017102,130017,61,男,在婚（有配偶）,是,不适用,小学
130017103,198382,34,男,在婚（有配偶）,是,不适用,初中
130017104,198382,30,女,在婚（有配偶）,否,不适用,初中
130017105,198382,10,女,没有有效数据,否,不适用,文盲/半文盲
130019101,130019,72,女,在婚（有配偶）,是,6,文盲/半文盲
130019102,130019,72,,,,,文盲/半文盲
130019103,130019,48,男,在婚（有配偶）,是,7,初中
130019104,130019,54,女,在婚（有配偶）,是,5,文盲/半文盲
130019401,130019,12,女,没有有效数据,否,7,小学
130020101,130020,79,男,丧偶,是,3,小学
130020103,130020,46,男,在婚（有配偶）,否,2,小学
130020104,130020,44,女,在婚（有配偶）,否,6,文盲/半文盲
130021501,130021,56,男,在婚（有配偶）,否,不适用,初中
130022101,130022,42,男,在婚（有配偶）,是,6,大专
130022105,130022,39,女,在婚（有配偶）,否,7,初中
130022106,130022,17,男,未婚,否,不适用,初中
130022107,130022,10,女,没有有效数据,否,7,文盲/半文盲
130023101,130023,80,男,在婚（有配偶）,是,不适用,小学
130023102,130023,81,,,,,文盲/半文盲
130024101,130024,66,男,在婚（有配偶）,是,5,文盲/半文盲
130024102,130024,67,女,在婚（有配偶）,否,6,文盲/半文盲
130024431,130024,41,男,在婚（有配偶）,否,6,初中
130027101,130027,69,,,,,文盲/半文盲
130027103,130027,32,男,在婚（有配偶）,是,不适用,初中
130027107,130027,66,,,,,文盲/半文盲
130028101,130028,53,女,在婚（有配偶）,否,3,文盲/半文盲
130028102,130028,56,男,在婚（有配偶）,否,6,小学
130029101,592305,63,男,在婚（有配偶）,是,6,小学
130029102,592305,74,女,在婚（有配偶）,否,1,小学
130029104,130029,39,女,在婚（有配偶）,否,5,初中
130029105,130029,15,男,没有有效数据,否,不适用,小学
130030101,130030,51,男,在婚（有配偶）,是,6,小学
130030102,130030,48,女,在婚（有配偶）,否,5,小学
130030103,130030,27,男,在婚（有配偶）,否,不适用,高中/中专/技校/职高
130030502,130030,29,女,在婚（有配偶）,否,不适用,大学本科
130030581,130030,82,,,,,
130030582,130030,81,,,,,
130032101,130032,40,女,在婚（有配偶）,否,不适用,小学
130032102,130032,70,男,在婚（有配偶）,是,6,小学
130032103,130032,68,女,在婚（有配偶）,否,6,文盲/半文盲
130032104,130032,42,男,在婚（有配偶）,否,不适用,初中
130032105,130032,18,女,未婚,否,6,初中
